Generation,freq_C,freq_D
0.0,89.0,11.0
1.0,84.0,16.0
2.0,79.0,21.0
3.0,67.0,33.0
4.0,57.0,43.0
5.0,45.0,55.0
6.0,35.0,65.0
7.0,20.0,80.0
8.0,15.0,85.0
9.0,16.0,84.0
10.0,3.0,97.0
11.0,2.0,98.0
12.0,3.0,97.0
13.0,2.0,98.0
14.0,0.0,100.0
15.0,0.0,100.0
16.0,1.0,99.0
17.0,0.0,100.0
18.0,1.0,99.0
19.0,3.0,97.0
20.0,2.0,98.0
21.0,3.0,97.0
22.0,2.0,98.0
23.0,1.0,99.0
24.0,0.0,100.0
25.0,0.0,100.0
26.0,0.0,100.0
27.0,0.0,100.0
28.0,3.0,97.0
29.0,1.0,99.0
30.0,2.0,98.0
31.0,1.0,99.0
32.0,3.0,97.0
33.0,1.0,99.0
34.0,1.0,99.0
35.0,0.0,100.0
36.0,2.0,98.0
37.0,0.0,100.0
38.0,0.0,100.0
39.0,2.0,98.0
40.0,5.0,95.0
41.0,5.0,95.0
42.0,0.0,100.0
43.0,2.0,98.0
44.0,1.0,99.0
45.0,0.0,100.0
46.0,1.0,99.0
47.0,2.0,98.0
48.0,1.0,99.0
49.0,3.0,97.0
